"ID";"Active(0/1)";"Name";"Parent category";"Root category (0/1)"
96;1;"Adaptery";"Home";0
308;1;"Środki czyszczące";"Home";0
53;1;"HDD";"Home";0
56;1;"Audio";"Home";0
260;1;"HDMI &amp; DVI";"Home";0
358;1;"Kontrolery PCI Express";"Home";0
187;1;"Wentylatory";"Home";0
188;1;"Pasty";"Home";0
243;1;"Dyski HDD 2.5";"Home";0
30;1;"Dyski HDD 3.5";"Home";0
218;1;"Dyski zewnętrzne 2.5";"Home";0
32;1;"obudowy zewnętrzne 2.5";"Home";0
285;1;"obudowy zewnętrzne 3.5";"Home";0
284;1;"Akcesoria";"Home";0
45;1;"Słuchawki";"Home";0
46;1;"Mikrofony";"Home";0
58;1;"Kamery internetowe";"Home";0
73;1;"nVidia GeForce";"Home";0
246;1;"wewnętrzne";"Home";0
247;1;"zewnętrzne";"Home";0
371;1;"Escape intel";"Home";0
436;1;"Powered by ASUS";"Home";0
91;1;"Klawiatury przewodowe";"Home";0
353;1;"Klawiatury bezprzewodowe";"Home";0
354;1;"zestawy przewodowe";"Home";0
267;1;"numeryczne";"Home";0
131;1;"Monitory LCD 19";"Home";0
404;1;"Monitory LCD 20";"Home";0
248;1;"Monitory LCD 22";"Home";0
317;1;"Monitory LCD 23";"Home";0
280;1;"Monitory LCD 24";"Home";0
416;1;"Monitory LCD 25";"Home";0
338;1;"Monitory LCD 27";"Home";0
408;1;"Monitory LCD 29";"Home";0
132;1;"Myszy przewodowe";"Home";0
217;1;"Podkładki";"Home";0
257;1;"wewnętrzne";"Home";0
258;1;"zewnętrzne";"Home";0
259;1;"do notebookow";"Home";0
420;1;"wewnętrzne";"Home";0
421;1;"zewnętrzne";"Home";0
199;1;"Micro ATX";"Home";0
429;1;"Mini ITX";"Home";0
270;1;"Programy Antywirusowe";"Home";0
174;1;"Programy Biurowe";"Home";0
278;1;"DDR3";"Home";0
329;1;"SODIMM DDR3";"Home";0
435;1;"SODIMM DDR4";"Home";0
150;1;"PenDrive USB";"Home";0
154;1;"Czytniki kart";"Home";0
380;1;"Socket AM3+";"Home";0
440;1;"Socket AM4";"Home";0
400;1;"Socket LGA1150";"Home";0
426;1;"Socket LGA2011 v3";"Home";0
444;1;"Socket LGA2066";"Home";0
229;1;"Socket AM3";"Home";0
399;1;"Socket LGA 1150";"Home";0
433;1;"Socket LGA 1151";"Home";0
427;1;"Socket LGA 2011-3";"Home";0
443;1;"Socket LGA 2066";"Home";0
410;1;"Adaptery PLC";"Home";0
166;1;"switche";"Home";0
262;1;"Kable Akcesora";"Home";0
206;1;"Routery z modemem ADSL";"Home";0
170;1;"Karty Sieciowe WiFi";"Home";0
268;1;"Anteny";"Home";0
190;1;"Awaryjne UPS";"Home";0
