"ID";"Active(0/1)";"Name";"Categories (xyz)";"Price";"Description";"ImgSrc"
"405";"1";"4world USB => LPT Centronics [02453]";"96";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 12 miesięcy Specyfikacja: Producent: 4World Model: 02453 Typ urządzenia: Adapter Złącza: 1x USB (męski), 1x LPT 36-pin (męski) Dodatkowe informacje: -";"http://www.esc.pl/images/?osCsid=7c0950c25e672e7cf1ef0ea8c93e47c8"
"406";"1";"4world USB => RS-232 [01434]";"96";"39.0";"Cena:  39zł &nbsp31,71zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: 4World Model: 01434 Typ urządzenia: Adapter Złącza: 1x USB (męski), 1x DB9 SerialPort (męski) Dodatkowe informacje: Port szeregowy (RS-232) na magistrali USB";"http://www.esc.pl/images/?osCsid=c02ec5a8d0fb47820561f71b7cdb2b95"
"403";"1";"Gembird USB => Bluetooth ver.4.0 ClassII [BTD-MINI4]";"96";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/BTD-MINI4_medium.jpg?osCsid=0fc4dc388715ade3c97aa6bd9ba111b1"
"10694";"1";"4world DVI-I [F] -> VGA [M] [08740]";"96";"19.0";"Cena:  19zł &nbsp15,45zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: 4World Model: 08740 Typ urządzenia: Adapter Złącza: 1x D-Sub (męski), 1x DVI-I (Żeński) Dodatkowe informacje: -";"http://www.esc.pl/images/akcesoria/dvivga2_medium.jpg?osCsid=19f0ce2d651e35c65a9803df4befdc5a"
"2722";"1";"4world SATA => IDE / IDE=>SATA [05340]";"96";"39.0";"Cena:  39zł &nbsp31,71zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: 4World Model: 05340 Typ urządzenia: Adapter Złącza: 1x SATA (męski), 1x PATA (Żeński) Dodatkowe informacje: -";"http://www.esc.pl/images/kontrolery/4world-ide-sata.jpg?osCsid=ff405c2e7060adc52ad6a16b18224d0e"
"10693";"1";"4world USB => Expresscard [05434]";"96";"49.0";"Cena:  49zł &nbsp39,84zł netto Gwarancja producenta: 12 miesięcy Specyfikacja: Producent: 4World Model: 05434 Typ urządzenia: Adapter Złącza: 1x USB (męski), 1x ExpressCard (Żeński) Dodatkowe informacje: -";"http://www.esc.pl/images/kontrolery/4worldusb-expresscard.jpg?osCsid=25c2b0e365de26e7494cfde087cc4306"
"14315";"1";"4world USB => Bluetooth ver.2.0 Class II [03476]";"96";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: 4World Model: 03476 Interfejs: USB Zasięg: do 10m Dodatkowe informacje: Mikro adapter bluetooth. Wykonany w nowoczesnej technologii. Dzięki swoim rozmiarom nie ma potrzeby odłączania go od laptopa podczas transportu.";"http://www.esc.pl/images/akcesoria/03476_medium.jpg?osCsid=5db0a215fb39507381a290af407b9e8e"
"1769";"1";"Gembird Adapter HDD 2.5 => 3.5 [A-240]";"96";"10.0";"Cena:  10zł &nbsp8,13zł netto Gwarancja producenta: 12 miesięcy Adapter umożliwiający konwersję złącza dysków twardych HDD z 2,5 na 3,5.";"http://www.esc.pl/images/akcesoria/a240_medium.jpg?osCsid=09b959b49336c9747b085a301f8f948a"
"6094";"1";"4world USB => IDE/SATA 2.5/3.5 [03399]";"96";"59.0";"Cena:  59zł &nbsp47,97zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: 4World Model: 03399 Typ urządzenia: Adapter Złącza: 1x USB (męski), 2x PATA (Męski) 1x SATA (żeński) Dodatkowe informacje: Urządzenie posiada dodatkowe zasilanie z dołączonego do zestawu zasilacza";"http://www.esc.pl/images/akcesoria/USBSATA_medium.jpg?osCsid=3e88346fe2c3707caf734a3fb2ae5ec7"
"12859";"1";"4world DVI-I [M] -> VGA [F] [06094]";"96";"19.0";"Cena:  19zł &nbsp15,45zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: 4World Model: 06094 Typ urządzenia: Adapter Złącza: 1x DVI-I(męski), 1x D-Sub(Żeński) Dodatkowe informacje: Umożliwia podłączenie monitorów starszego typu do kart graficznych wyposażonych w złacze DVI-I. Uwaga! Adapter jest niekompatybilny z najnowszymi kartami graficznymi, które do podłączenia monitorów z wyjściem D-Sub potrzebują konwertera sygnałowego dostępnego TUTAJ";"http://www.esc.pl/images/akcesoria/dvivga_medium.jpg?osCsid=7ea1d689ef8b1bd8231c525ae9aff43b"
"10696";"1";"Gembird USB => PS2 (2x) [UAPS12]";"96";"15.0";"Cena:  15zł &nbsp12,20zł netto Gwarancja producenta: 12 miesięcy Specyfikacja: Producent: Gembird Model: UAPS12 Typ urządzenia: Adapter Złącza: 1x USB typu A (męski), 2x PS/2 (żeński) Dodatkowe informacje: Adapter na kablu umożliwiający podłączenie myszy i klawiatury (PS/2) do portu USB w komputerze.";"http://www.esc.pl/images/akcesoria/uaps12_medium.jpg?osCsid=1a30a2a74b8c4a8f14861637989b4296"
"4755";"1";"Gembird USB => IDE/SATA 2.5/3.5 [AUSI01]";"96";"59.0";"Cena:  59zł &nbsp47,97zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Model: AUSI01 Typ urządzenia: Adapter Złącza: 1x USB (męski), 2x PATA (Męski) 1x SATA (żeński) Dodatkowe informacje: Urządzenie posiada dodatkowe zasilanie z dołączonego do zestawu zasilacza";"http://www.esc.pl/images/akcesoria/AUSI01_medium.jpg?osCsid=725dc4a415739d4feb17eb22c06fa4a2"
"10699";"1";"4world DVI-D [M] -> HDMI [F] [08737]";"96";"19.0";"Cena:  19zł &nbsp15,45zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: 4World Model: 08737 Typ urządzenia: Adapter Złącza: 1x DVI-D(męski), 1x HDMI typu A (Żeński)";"http://www.esc.pl/images/akcesoria/dhdmi_medium.jpg?osCsid=1bb86f368ba6873b7d3788deea11712d"
"298788";"1";"Savio Konwerter HDMI-D-Sub [CL-27]";"96";"49.0";"Cena:  49zł &nbsp39,84zł netto dostępne w magazynie - natychmiastowa wysyłka Specyfikacja: Producent: Savio Model: CL-27 Typ urządzenia: Konwerter Sygnałowy Złącza: 1x HDMI(męski), 1x D-Sub(Żeński) Dodatkowe informacje: Konwertuje cyfrowy sygnał HDMI z wyjścia urządzeń takich jak: PC, laptop, DVD, dekoder cyfrowy, PS3, XBOX, na sygnał analogowy wideo do wyświetlenia na urządzeniach z wejściem VGA takich jak monitor lub projektor. Nie wymaga dodatkowego zasilania Idealne rozwiązanie przy podłączeniu nowych kart graficznych do monitorów starszego typu.";"http://www.esc.pl/images/akcesoria/SAVIO_HDMI_VGA_medium.jpg?osCsid=1ef48d735dc46c99177546792302538b"
"12333";"1";"Ronol Pianka do czyszczenia ekranów TFT/LCD/Plasma (200ml) [10006OE]";"308";"10.0";"Cena:  10zł &nbsp8,13zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/10006OE_medium.jpg?osCsid=5cac0f251ace841d62ae1fcf7392c0a9"
"12332";"1";"Ronol Płyn do czyszczenia ekranów (250ml) [10201OE]";"308";"10.0";"Cena:  10zł &nbsp8,13zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/10201OE_medium.jpg?osCsid=21a131699e558261aa0df463f5e0a320"
"12330";"1";"TB Sprężone powietrze (400ml)";"308";"20.0";"Cena:  20zł &nbsp16,26zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/tbclean_medium.jpg?osCsid=ce8812240b63794574b973394877ab3d"
"12331";"1";"Ronol Ściereczki do czyszczenia TFT/LCD/Plasma (100szt) [10095OE]";"308";"10.0";"Cena:  10zł &nbsp8,13zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/10095OE_medium.jpg?osCsid=6ce894e852f7bedc4c1ac29e161f0c9e"
"49828";"1";"Cablexpert Kabel SATA III (50cm) [CC-SATA-DATA]";"53";"10.0";"Cena:  10zł &nbsp8,13zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Cablexpert Model: CC-SATA-DATA Długość przewodu: 50cm Złącza: 2x SATA(żeński) Dodatkowe informacje: Kompatybilny z SATA II";"http://www.esc.pl/images/akcesoria/CC-SATA-DATA_medium.jpg?osCsid=33fc2f300f93a75928ea983b819f48d1"
"208";"1";"mJACK => 2xCHINCH (10m)";"56";"20.0";"Cena:  20zł &nbsp16,26zł netto Kabel do podłączenia komputera ze sprzetem audio za pomocą złącza mjack z jednej strony oraz CHINCH z drugiej.";"http://www.esc.pl/images/kable/mJACK.2xCHINCH.jpg?osCsid=cbe2df7801a19a7a4ce4fc3ef73156d8"
"210";"1";"mJACK => 2xCHINCH (7.5m)";"56";"20.0";"Cena:  20zł &nbsp16,26zł netto Kabel do podłączenia komputera ze sprzetem audio za pomocą złącza mjack z jednej strony oraz CHINCH z drugiej";"http://www.esc.pl/images/kable/mJACK.2xCHINCH.jpg?osCsid=62913b960bbd77be7acfb8e5fc3d75b4"
"207";"1";"mJACK => 2xCHINCH (2m)";"56";"15.0";"Cena:  15zł &nbsp12,20zł netto Kabel do podłączenia komputera ze sprzetem audio za pomocą złącza mjack z jednej strony oraz CHINCH z drugiej.";"http://www.esc.pl/images/kable/mJACK.2xCHINCH.jpg?osCsid=7b21149dc23f45183cacf87221fb2762"
"211";"1";"mJACK => 2xCHINCH (15m)";"56";"25.0";"Cena:  25zł &nbsp20,33zł netto Kabel do podłączenia komputera ze sprzetem audio za pomocą złącza mjack z jednej strony oraz CHINCH z drugiej.  ";"http://www.esc.pl/images/kable/mJACK.2xCHINCH.jpg?osCsid=c563abf648e02f2976143293db068503"
"209";"1";"mJACK => 2xCHINCH (5m)";"56";"15.0";"Cena:  15zł &nbsp12,20zł netto Kabel do podłączenia komputera ze sprzetem audio za pomocą złącza mjack z jednej strony oraz CHINCH z drugiej";"http://www.esc.pl/images/kable/mJACK.2xCHINCH.jpg?osCsid=471a2ec6d57d7352ac131153e80b3e4d"
"15727";"1";"Gembird mini HDMI / HDMI (1.8m) [CC-HDMIC-6]";"260";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski),1x HDMI typ C (męski) Kolor: Czarny Długość przewodu: 1,8m";"http://www.esc.pl/images/kable/CC-HDMIC-6_medium.jpg?osCsid=9f0fc35a8f5140a0ae370400a16d6f45"
"6761";"1";"Gembird HDMI / DVI (3m) [CC-HDMI-DVI-10]";"260";"30.0";"Cena:  30zł &nbsp24,39zł netto Gwarancja producenta: 12 miesięcy Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski), 1x DVI-D (męski) Kolor: Czarny Długość przewodu: 3m";"http://www.esc.pl/images/kable/HDMI-DVI_medium.jpg?osCsid=ab84ed28485d9c1abb10a4c4062a36df"
"18093";"1";"Gembird mini HDMI / HDMI (3.0m) [CC-HDMIC-10]";"260";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski),1x HDMI typ C (męski) Kolor: Czarny Długość przewodu: 3m";"http://www.esc.pl/images/kable/CC-HDMIC-6_medium.jpg?osCsid=5b85485bb92a0ba361e1c34a92fc074b"
"6783";"1";"Gembird HDMI / HDMI V1.4 3D TV (0.5m) [CC-HDMI4-0.5M]";"260";"20.0";"Cena:  20zł &nbsp16,26zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 0,5m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=bcb915c19a2354cb74968f59e97d1869"
"19867";"1";"Gembird HDMI / HDMI V1.4 3D TV (30m) [CC-HDMI4-30M]";"260";"230.0";"Cena:  230zł &nbsp186,99zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 30m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=dff83ee26b173428bb6067b8daa86b16"
"15049";"1";"Gembird HDMI / HDMI V1.4 3D TV (3.0m) kątowy [CC-HDMI490-10]";"260";"30.0";"Cena:  30zł &nbsp24,39zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski), 1x HDMI typ A (męski) kątowy 90', Kolor: Czarny Długość przewodu: 3m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4-90_medium.jpg?osCsid=9dfb79a7612943e11f9d38aee8926de8"
"204";"1";"Gembird HDMI / HDMI V1.4 3D TV (7.5m) [CC-HDMI4-7.5M]";"260";"39.0";"Cena:  39zł &nbsp31,71zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 7,5m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=546916490e4d8c588cf64af4f1cc3875"
"15908";"1";"Gembird HDMI / HDMI V1.4 3D TV (20m) [CC-HDMI4-20M]";"260";"130.0";"Cena:  130zł &nbsp105,69zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 20m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=adafb89097d3d6236e8ce47ca6f5d13c"
"206";"1";"Gembird HDMI / HDMI V1.4 3D TV (15m) [CC-HDMI4-15M]";"260";"90.0";"Cena:  90zł &nbsp73,17zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 15m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=ac41655fa75bc4d1aa005ccb5bb4329c"
"6793";"1";"Gembird HDMI / HDMI V1.4 3D TV (3.0m) [CC-HDMI4-10]";"260";"30.0";"Cena:  30zł &nbsp24,39zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 3m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=1b09a632b189dbf8b144575c321920e6"
"6794";"1";"Gembird HDMI / HDMI V1.4 3D TV (4.5m) [CC-HDMI4-15]";"260";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 4,5m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=4f499b622fc4fa2f1bb91092cd054e53"
"6773";"1";"Gembird DVI / DVI (3.0m) [CC-DVI-10]";"260";"30.0";"Cena:  30zł &nbsp24,39zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/CC-DVI-10_medium.jpg?osCsid=386c92ed9b584184c3d474c4b5248b3c"
"6792";"1";"Gembird HDMI / HDMI V1.4 3D TV (1.8m) [CC-HDMI4-6]";"260";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 1,8m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=09e02d1801ec22e48b49fef7cc7219ad"
"6782";"1";"Gembird HDMI / DVI (5m) [CC-HDMI-DVI-15]";"260";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski), 1x DVI-D (męski) Kolor: Czarny Długość przewodu: 1.8m";"http://www.esc.pl/images/kable/HDMI-DVI_medium.jpg?osCsid=230b43a682151fb0da9ffb1ebba56fa5"
"205";"1";"Gembird HDMI / HDMI V1.4 3D TV (10m) [CC-HDMI4-10M]";"260";"49.0";"Cena:  49zł &nbsp39,84zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 10m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=6eea7d714f23537bccb41d0cc57e7649"
"25774";"1";"Gembird Displayport / Displayport (1.8m) [CC-DP-6]";"260";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/CC-DP-6_medium.jpg?osCsid=8ad31f62cc15647cd136f19b9c136df3"
"30409";"1";"Gembird micro HDMI / HDMI (1.8m) [CC-HDMID-6]";"260";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski),1x HDMI typ D (męski) Kolor: Czarny Długość przewodu: 1,8m";"http://www.esc.pl/images/kable/CC-HDMID-6_medium.jpg?osCsid=1bb533ed9d0a850415aff8e72d07cd2e"
"27741";"1";"Gembird micro HDMI / HDMI (5.0m) [CC-HDMID-15]";"260";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski),1x HDMI typ D (męski) Kolor: Czarny Długość przewodu: 5m";"http://www.esc.pl/images/kable/CC-HDMID-6_medium.jpg?osCsid=4ac2900419d7f1362fbe9c23295f6e74"
